Entity,Code,Year,Outdoor air pollution,Household air pollution
Afghanistan,AFG,1990,13085,20372
Afghanistan,AFG,1995,17602,27948
Afghanistan,AFG,2000,20097,31581
Afghanistan,AFG,2005,22285,36956
Afghanistan,AFG,2006,22493,36622
Afghanistan,AFG,2010,21195,31631
Afghanistan,AFG,2016,27426,34356
Albania,ALB,1990,1208,2159
Albania,ALB,1995,1085,1994
Albania,ALB,2000,1105,1794
Albania,ALB,2005,1176,1680
Albania,ALB,2006,1219,1565
Albania,ALB,2010,1398,1190
Albania,ALB,2016,1421,1003
Algeria,DZA,1990,7963,2502
Algeria,DZA,1995,8298,1630
Algeria,DZA,2000,9007,1018
Algeria,DZA,2005,9062,456
Algeria,DZA,2006,9093,393
Algeria,DZA,2010,9547,220
Algeria,DZA,2016,12976,111
American Samoa,ASM,1990,2,11
American Samoa,ASM,1995,2,10
American Samoa,ASM,2000,3,9
American Samoa,ASM,2005,3,8
American Samoa,ASM,2006,2,8
American Samoa,ASM,2010,1,7
American Samoa,ASM,2016,2,6
Andorra,AND,1990,18,2
Andorra,AND,1995,21,1
Andorra,AND,2000,18,1
Andorra,AND,2005,21,1
Andorra,AND,2006,22,1
Andorra,AND,2010,24,1
Andorra,AND,2016,27,1
Angola,AGO,1990,6469,12604
Angola,AGO,1995,6912,13317
Angola,AGO,2000,7772,13815
Angola,AGO,2005,8156,13316
Angola,AGO,2006,8068,12874
Angola,AGO,2010,7733,11864
Angola,AGO,2016,7327,7902
Antigua and Barbuda,ATG,1990,21,4
Antigua and Barbuda,ATG,1995,20,3
Antigua and Barbuda,ATG,2000,19,2
Antigua and Barbuda,ATG,2005,18,2
Antigua and Barbuda,ATG,2006,18,2
Antigua and Barbuda,ATG,2010,16,1
Antigua and Barbuda,ATG,2016,19,1
Argentina,ARG,1990,13842,4424
Argentina,ARG,1995,13912,3139
Argentina,ARG,2000,14637,2588
Argentina,ARG,2005,14962,2208
Argentina,ARG,2006,15011,2109
Argentina,ARG,2010,15424,1707
Argentina,ARG,2016,15807,1202
Armenia,ARM,1990,1913,2355
Armenia,ARM,1995,1984,2226
Armenia,ARM,2000,1926,1366
Armenia,ARM,2005,2117,1269
Armenia,ARM,2006,2184,1239
Armenia,ARM,2010,2229,867
Armenia,ARM,2016,2148,650
Australia,AUS,1990,3864,241
Australia,AUS,1995,3764,98
Australia,AUS,2000,3533,86
Australia,AUS,2005,3154,87
Australia,AUS,2006,3057,85
Australia,AUS,2010,2669,69
Australia,AUS,2016,3098,59
Austria,AUT,1990,4904,377
Austria,AUT,1995,4464,257
Austria,AUT,2000,3995,196
Austria,AUT,2005,3542,148
Austria,AUT,2006,3492,140
Austria,AUT,2010,3407,112
Austria,AUT,2016,3454,87
Azerbaijan,AZE,1990,5348,5458
Azerbaijan,AZE,1995,5341,5220
Azerbaijan,AZE,2000,5286,3481
Azerbaijan,AZE,2005,5425,2442
Azerbaijan,AZE,2006,5601,2257
Azerbaijan,AZE,2010,6469,2098
Azerbaijan,AZE,2016,6885,1849
Bahamas,BHS,1990,61,15
Bahamas,BHS,1995,67,13
Bahamas,BHS,2000,68,11
Bahamas,BHS,2005,75,10
Bahamas,BHS,2006,71,10
Bahamas,BHS,2010,69,10
Bahamas,BHS,2016,95,10
Bahrain,BHR,1990,212,44
Bahrain,BHR,1995,228,28
Bahrain,BHR,2000,228,21
Bahrain,BHR,2005,217,11
Bahrain,BHR,2006,224,10
Bahrain,BHR,2010,253,8
Bahrain,BHR,2016,308,6
Bangladesh,BGD,1990,82922,117467
Bangladesh,BGD,1995,81365,110913
Bangladesh,BGD,2000,82277,108085
Bangladesh,BGD,2005,94713,110898
Bangladesh,BGD,2006,96396,111627
Bangladesh,BGD,2010,100287,110340
Bangladesh,BGD,2016,115489,106871
Barbados,BRB,1990,108,1
Barbados,BRB,1995,112,1
Barbados,BRB,2000,99,1
Barbados,BRB,2005,87,0
Barbados,BRB,2006,86,0
Barbados,BRB,2010,79,0
Barbados,BRB,2016,103,0
Belarus,BLR,1990,11199,1590
Belarus,BLR,1995,12252,1513
Belarus,BLR,2000,11919,1091
Belarus,BLR,2005,11796,784
Belarus,BLR,2006,11533,677
Belarus,BLR,2010,11406,417
Belarus,BLR,2016,9657,244
Belgium,BEL,1990,6705,204
Belgium,BEL,1995,6122,130
Belgium,BEL,2000,5837,105
Belgium,BEL,2005,5321,85
Belgium,BEL,2006,5215,81
Belgium,BEL,2010,5164,68
Belgium,BEL,2016,5230,56
Belize,BLZ,1990,58,55
Belize,BLZ,1995,68,45
Belize,BLZ,2000,79,39
Belize,BLZ,2005,67,31
Belize,BLZ,2006,66,30
Belize,BLZ,2010,68,33
Belize,BLZ,2016,76,31
Benin,BEN,1990,4128,6640
Benin,BEN,1995,4395,7078
Benin,BEN,2000,4396,6949
Benin,BEN,2005,3817,6625
Benin,BEN,2006,3790,6592
Benin,BEN,2010,3913,6884
Benin,BEN,2016,5737,7056
Bermuda,BMU,1990,24,8
Bermuda,BMU,1995,23,6
Bermuda,BMU,2000,21,5
Bermuda,BMU,2005,18,3
Bermuda,BMU,2006,17,3
Bermuda,BMU,2010,14,3
Bermuda,BMU,2016,14,2
Bhutan,BTN,1990,364,593
Bhutan,BTN,1995,314,462
Bhutan,BTN,2000,309,395
Bhutan,BTN,2005,336,306
Bhutan,BTN,2006,333,289
Bhutan,BTN,2010,337,237
Bhutan,BTN,2016,388,180
Bolivia,BOL,1990,4390,6364
Bolivia,BOL,1995,4149,4890
Bolivia,BOL,2000,3871,3863
Bolivia,BOL,2005,4343,3398
Bolivia,BOL,2006,4211,3284
Bolivia,BOL,2010,3918,2916
Bolivia,BOL,2016,3751,2149
Bosnia and Herzegovina,BIH,1990,3519,4137
Bosnia and Herzegovina,BIH,1995,3246,3797
Bosnia and Herzegovina,BIH,2000,3019,2917
Bosnia and Herzegovina,BIH,2005,3095,2631
Bosnia and Herzegovina,BIH,2006,3132,2568
Bosnia and Herzegovina,BIH,2010,3216,2290
Bosnia and Herzegovina,BIH,2016,3432,2062
Botswana,BWA,1990,341,641
Botswana,BWA,1995,420,712
Botswana,BWA,2000,608,889
Botswana,BWA,2005,609,796
Botswana,BWA,2006,585,753
Botswana,BWA,2010,524,600
Botswana,BWA,2016,627,450
Brazil,BRA,1990,41829,40333
Brazil,BRA,1995,44940,31890
Brazil,BRA,2000,48031,21676
Brazil,BRA,2005,45887,17131
Brazil,BRA,2006,45053,16027
Brazil,BRA,2010,42486,12193
Brazil,BRA,2016,52742,8007
Brunei,BRN,1990,19,12
Brunei,BRN,1995,20,2
Brunei,BRN,2000,17,0
Brunei,BRN,2005,29,0
Brunei,BRN,2006,29,0
Brunei,BRN,2010,29,0
Brunei,BRN,2016,39,0
Bulgaria,BGR,1990,12801,4690
Bulgaria,BGR,1995,12197,3894
Bulgaria,BGR,2000,10942,3015
Bulgaria,BGR,2005,9820,2692
Bulgaria,BGR,2006,9945,2590
Bulgaria,BGR,2010,9719,2118
Bulgaria,BGR,2016,9339,1713
Burkina Faso,BFA,1990,8200,13124
Burkina Faso,BFA,1995,8159,13005
Burkina Faso,BFA,2000,8311,13160
Burkina Faso,BFA,2005,7728,12679
Burkina Faso,BFA,2006,7675,12535
Burkina Faso,BFA,2010,7892,12544
Burkina Faso,BFA,2016,10267,12653
Burundi,BDI,1990,4515,8426
Burundi,BDI,1995,4537,8414
Burundi,BDI,2000,4158,7679
Burundi,BDI,2005,3916,7474
Burundi,BDI,2006,3857,7372
Burundi,BDI,2010,3859,7510
Burundi,BDI,2016,4788,8485
Cambodia,KHM,1990,4950,12218
Cambodia,KHM,1995,5690,13784
Cambodia,KHM,2000,5936,13922
Cambodia,KHM,2005,6316,13201
Cambodia,KHM,2006,6106,12820
Cambodia,KHM,2010,5634,11795
Cambodia,KHM,2016,6002,10792
Cameroon,CMR,1990,9195,10721
Cameroon,CMR,1995,10672,12281
Cameroon,CMR,2000,12362,14002
Cameroon,CMR,2005,12135,14183
Cameroon,CMR,2006,12237,14322
Cameroon,CMR,2010,12801,15339
Cameroon,CMR,2016,16222,14661
Canada,CAN,1990,7297,112
Canada,CAN,1995,7523,80
Canada,CAN,2000,7399,64
Canada,CAN,2005,7467,56
Canada,CAN,2006,7279,54
Canada,CAN,2010,6731,47
Canada,CAN,2016,7644,44
Cape Verde,CPV,1990,159,207
Cape Verde,CPV,1995,183,204
Cape Verde,CPV,2000,189,180
Cape Verde,CPV,2005,171,180
Cape Verde,CPV,2006,174,180
Cape Verde,CPV,2010,182,160
Cape Verde,CPV,2016,239,118
Caribbean,,1990,15736,14775
Caribbean,,1995,16325,13992
Caribbean,,2000,16497,12571
Caribbean,,2005,16007,12071
Caribbean,,2006,15730,12072
Caribbean,,2010,14936,11968
Caribbean,,2016,17088,11474
Central African Republic,CAF,1990,2730,4707
Central African Republic,CAF,1995,3061,5229
Central African Republic,CAF,2000,3385,5630
Central African Republic,CAF,2005,3447,5728
Central African Republic,CAF,2006,3549,5954
Central African Republic,CAF,2010,3577,6162
Central African Republic,CAF,2016,4269,6212
Central Asia,,1990,50956,44198
Central Asia,,1995,54387,43151
Central Asia,,2000,53303,34713
Central Asia,,2005,52820,31563
Central Asia,,2006,52954,30258
Central Asia,,2010,52336,24484
Central Asia,,2016,54808,19735
Central Europe,,1990,129278,60701
Central Europe,,1995,116550,52958
Central Europe,,2000,101510,41954
Central Europe,,2005,93734,35026
Central Europe,,2006,93986,33089
Central Europe,,2010,95152,26902
Central Europe,,2016,90890,21428
Central Sub-Saharan Africa,,1990,31955,57087
Central Sub-Saharan Africa,,1995,36255,64065
Central Sub-Saharan Africa,,2000,40026,68213
Central Sub-Saharan Africa,,2005,40106,68379
Central Sub-Saharan Africa,,2006,40355,68942
Central Sub-Saharan Africa,,2010,41050,71675
Central Sub-Saharan Africa,,2016,47845,69459
Chad,TCD,1990,4632,7619
Chad,TCD,1995,5261,8600
Chad,TCD,2000,6295,10085
Chad,TCD,2005,6641,10805
Chad,TCD,2006,6791,11060
Chad,TCD,2010,7393,12169
Chad,TCD,2016,9182,12324
Chile,CHL,1990,4445,2664
Chile,CHL,1995,4401,2031
Chile,CHL,2000,4084,1432
Chile,CHL,2005,4248,1037
Chile,CHL,2006,4189,955
Chile,CHL,2010,4415,751
Chile,CHL,2016,5000,550
China,CHN,1990,969657,1285110
China,CHN,1995,1055662,1269530
China,CHN,2000,1102410,1136164
China,CHN,2005,1143314,997600
China,CHN,2006,1112394,940272
China,CHN,2010,1134227,817744
China,CHN,2016,1144746,605098
Colombia,COL,1990,7723,6525
Colombia,COL,1995,8447,5866
Colombia,COL,2000,8822,5115
Colombia,COL,2005,9794,5392
Colombia,COL,2006,9923,5637
Colombia,COL,2010,9400,5702
Colombia,COL,2016,10112,3891
Comoros,COM,1990,169,449
Comoros,COM,1995,173,447
Comoros,COM,2000,170,422
Comoros,COM,2005,161,367
Comoros,COM,2006,160,369
Comoros,COM,2010,148,366
Comoros,COM,2016,161,338
Congo,COG,1990,1754,2735
Congo,COG,1995,1995,3037
Congo,COG,2000,2193,3103
Congo,COG,2005,1974,2729
Congo,COG,2006,1951,2688
Congo,COG,2010,1860,2532
Congo,COG,2016,1983,2121
Costa Rica,CRI,1990,575,453
Costa Rica,CRI,1995,652,356
Costa Rica,CRI,2000,721,263
Costa Rica,CRI,2005,698,197
Costa Rica,CRI,2006,672,186
Costa Rica,CRI,2010,618,151
Costa Rica,CRI,2016,852,136
Cote d'Ivoire,CIV,1990,6369,12441
Cote d'Ivoire,CIV,1995,7737,14371
Cote d'Ivoire,CIV,2000,8423,14992
Cote d'Ivoire,CIV,2005,7839,15083
Cote d'Ivoire,CIV,2006,7985,15388
Cote d'Ivoire,CIV,2010,8201,15385
Cote d'Ivoire,CIV,2016,12515,15816
Croatia,HRV,1990,4060,1814
Croatia,HRV,1995,3783,1609
Croatia,HRV,2000,3548,1310
Croatia,HRV,2005,3435,1062
Croatia,HRV,2006,3430,1020
Croatia,HRV,2010,3355,851
Croatia,HRV,2016,3530,679
Cuba,CUB,1990,5215,828
Cuba,CUB,1995,5498,1039
Cuba,CUB,2000,5454,849
Cuba,CUB,2005,5401,627
Cuba,CUB,2006,5236,587
Cuba,CUB,2010,4756,469
Cuba,CUB,2016,5449,370
Cyprus,CYP,1990,349,32
Cyprus,CYP,1995,351,19
Cyprus,CYP,2000,335,13
Cyprus,CYP,2005,313,9
Cyprus,CYP,2006,305,9
Cyprus,CYP,2010,311,7
Cyprus,CYP,2016,361,5
Czech Republic,CZE,1990,12656,897
Czech Republic,CZE,1995,9827,663
Czech Republic,CZE,2000,7894,501
Czech Republic,CZE,2005,7194,413
Czech Republic,CZE,2006,7101,392
Czech Republic,CZE,2010,7135,339
Czech Republic,CZE,2016,6716,262
Democratic Republic of Congo,COD,1990,19987,35510
Democratic Republic of Congo,COD,1995,23214,41036
Democratic Republic of Congo,COD,2000,25653,44629
Democratic Republic of Congo,COD,2005,25646,45865
Democratic Republic of Congo,COD,2006,25896,46703
Democratic Republic of Congo,COD,2010,27041,50536
Democratic Republic of Congo,COD,2016,33329,52788
Denmark,DNK,1990,3294,72
Denmark,DNK,1995,3100,54
Denmark,DNK,2000,2595,42
Denmark,DNK,2005,2238,36
Denmark,DNK,2006,2191,34
Denmark,DNK,2010,2035,29
Denmark,DNK,2016,1939,23
Djibouti,DJI,1990,340,455
Djibouti,DJI,1995,382,426
Djibouti,DJI,2000,401,335
Djibouti,DJI,2005,374,268
Djibouti,DJI,2006,376,263
Djibouti,DJI,2010,384,240
Djibouti,DJI,2016,435,184
Dominica,DMA,1990,20,25
Dominica,DMA,1995,22,18
Dominica,DMA,2000,18,10
Dominica,DMA,2005,18,8
Dominica,DMA,2006,18,7
Dominica,DMA,2010,17,6
Dominica,DMA,2016,21,4
Dominican Republic,DOM,1990,1636,1530
Dominican Republic,DOM,1995,1783,1182
Dominican Republic,DOM,2000,2169,902
Dominican Republic,DOM,2005,2163,890
Dominican Republic,DOM,2006,2230,893
Dominican Republic,DOM,2010,2475,868
Dominican Republic,DOM,2016,2989,747
East Asia,,1990,985527,1307178
East Asia,,1995,1074665,1294634
East Asia,,2000,1125344,1166211
East Asia,,2005,1170488,1032411
East Asia,,2006,1140109,975670
East Asia,,2010,1164942,855967
East Asia,,2016,1181344,645318
Eastern Europe,,1990,215913,20459
Eastern Europe,,1995,256859,23237
Eastern Europe,,2000,239587,20328
Eastern Europe,,2005,240190,24122
Eastern Europe,,2006,227891,20883
Eastern Europe,,2010,211599,12610
Eastern Europe,,2016,198331,7961
Eastern Sub-Saharan Africa,,1990,106961,238736
Eastern Sub-Saharan Africa,,1995,113065,249633
Eastern Sub-Saharan Africa,,2000,115009,250342
Eastern Sub-Saharan Africa,,2005,108452,244472
Eastern Sub-Saharan Africa,,2006,108921,244536
Eastern Sub-Saharan Africa,,2010,108530,240063
Eastern Sub-Saharan Africa,,2016,121927,231546
Ecuador,ECU,1990,2211,2393
Ecuador,ECU,1995,2338,1813
Ecuador,ECU,2000,2405,1276
Ecuador,ECU,2005,2593,877
Ecuador,ECU,2006,2508,836
Ecuador,ECU,2010,2210,634
Ecuador,ECU,2016,2267,433
Egypt,EGY,1990,52108,6455
Egypt,EGY,1995,48437,3413
Egypt,EGY,2000,46952,1840
Egypt,EGY,2005,52964,880
Egypt,EGY,2006,54619,799
Egypt,EGY,2010,61992,557
Egypt,EGY,2016,68895,280
El Salvador,SLV,1990,1832,2207
El Salvador,SLV,1995,1897,1983
El Salvador,SLV,2000,1863,1554
El Salvador,SLV,2005,1845,1207
El Salvador,SLV,2006,1827,1138
El Salvador,SLV,2010,1763,904
El Salvador,SLV,2016,2018,697
England,,1990,34890,4965
England,,1995,32172,2434
England,,2000,27545,1369
England,,2005,23272,867
England,,2006,22440,791
England,,2010,20484,588
England,,2016,21352,482
Equatorial Guinea,GNQ,1990,380,679
Equatorial Guinea,GNQ,1995,394,690
Equatorial Guinea,GNQ,2000,304,461
Equatorial Guinea,GNQ,2005,201,306
Equatorial Guinea,GNQ,2006,208,310
Equatorial Guinea,GNQ,2010,208,284
Equatorial Guinea,GNQ,2016,243,231
Eritrea,ERI,1990,1796,3278
Eritrea,ERI,1995,1477,2607
Eritrea,ERI,2000,1421,2241
Eritrea,ERI,2005,1536,2293
Eritrea,ERI,2006,1578,2288
Eritrea,ERI,2010,1689,2165
Eritrea,ERI,2016,1846,1853
Estonia,EST,1990,1157,638
Estonia,EST,1995,1089,666
Estonia,EST,2000,831,517
Estonia,EST,2005,713,431
Estonia,EST,2006,703,411
Estonia,EST,2010,563,289
Estonia,EST,2016,394,227
Ethiopia,ETH,1990,34047,68899
Ethiopia,ETH,1995,37086,75896
Ethiopia,ETH,2000,37141,77355
Ethiopia,ETH,2005,33953,74704
Ethiopia,ETH,2006,34139,74091
Ethiopia,ETH,2010,33785,69203
Ethiopia,ETH,2016,37793,62153
Fiji,FJI,1990,134,363
Fiji,FJI,1995,156,355
Fiji,FJI,2000,173,326
Fiji,FJI,2005,189,277
Fiji,FJI,2006,183,271
Fiji,FJI,2010,155,236
Fiji,FJI,2016,192,196
Finland,FIN,1990,2145,141
Finland,FIN,1995,1829,89
Finland,FIN,2000,1607,65
Finland,FIN,2005,1397,46
Finland,FIN,2006,1402,44
Finland,FIN,2010,1391,35
Finland,FIN,2016,1131,26
France,FRA,1990,20963,1533
France,FRA,1995,19950,839
France,FRA,2000,18668,571
France,FRA,2005,17166,420
France,FRA,2006,16960,395
France,FRA,2010,16920,328
France,FRA,2016,17389,268
Gabon,GAB,1990,635,851
Gabon,GAB,1995,678,756
Gabon,GAB,2000,719,577
Gabon,GAB,2005,682,435
Gabon,GAB,2006,682,412
Gabon,GAB,2010,632,295
Gabon,GAB,2016,693,204
